"PublicationType";"Precision";"Recall";"F1"
"BEITRAEGE_AUS_TAGUNGSBAENDEN";"95,09";"69,69";"69,57"
"BUCHBEITRAEGE";"99,03";"83,61";"83,61"
"ZEITSCHRIFTENARTIKEL";"93,85";"67,03";"66,79"
"DIPLOM_UND_MASTERARBEITEN";"95,39";"68,56";"68,40"
"";"95,84";"72,22";"72,09"
