output\result\result-TUW-189842-xstream.xml;"Geraldine Fitzpatrick
Madeline Balaam
Lesley Axelrod
Eric Harris
Graham McAllister
Ann-Marie Hughes
Jane Burridge
Thomas Nind
Ian Ricketts
Anna Wilkinson
Sue Mawson
Stefan Rennick Egglestone
Tom Rodden
Penny Probert Smith
Nour Shublaq
Zoe Robertson
";"";none extracted value;,00;0
output\result\result-TUW-191715-xstream.xml;"Werner Purgathofer
Robert F Tobler
";"";none extracted value;,00;0
output\result\result-TUW-191977-xstream.xml;"G Athanasopoulos
E Fox
Y Ioannidis
G Kakaletris
N Manola
C Meghini
A Rauber
D Soergel
";"";none extracted value;,00;0
output\result\result-TUW-192724-xstream.xml;"Justyna Patalas-Maliszewska
Irene Krebs
";"";none extracted value;,00;0
output\result\result-TUW-194085-xstream.xml;"Thomas Nowak
";"";none extracted value;,00;0
output\result\result-TUW-194561-xstream.xml;"Bernhard Gramlich
Felix Schernhammer
";"";none extracted value;,00;0
output\result\result-TUW-194660-xstream.xml;"Eugen Jiresch
Bernhard Gramlich
";"";none extracted value;,00;0
output\result\result-TUW-197422-xstream.xml;"W Aigner
";"";none extracted value;,00;0
output\result\result-TUW-197852-xstream.xml;"Petra Brosch
Andrea Randak
";"";none extracted value;,00;0
output\result\result-TUW-198400-xstream.xml;"Kresimir Kasal
Johannes Heurix
Thomas Neubauer
";"";none extracted value;,00;0
output\result\result-TUW-198401-xstream.xml;"Thomas Neubauer
";"";none extracted value;,00;0
output\result\result-TUW-198405-xstream.xml;"Thomas Neubauer
Johannes Heurix
";"";none extracted value;,00;0
output\result\result-TUW-198408-xstream.xml;"Thomas Neubauer
Christian Stummer
";"";none extracted value;,00;0
output\result\result-TUW-200745-xstream.xml;"Christian Gruber
";"";none extracted value;,00;0
output\result\result-TUW-200748-xstream.xml;"Thomas Seidl
";"";none extracted value;,00;0
output\result\result-TUW-200948-xstream.xml;"Gregory Gutin
Eun Jung Kim
Stefan Szeider
Anders Yeo
";"";none extracted value;,00;0
output\result\result-TUW-200950-xstream.xml;"Michael Fellows
Fedor V Fomin
Daniel Lokshtanov
Frances Rosamond
Saket Saurabh
Stefan Szeider
Carsten Thomassen
";"";none extracted value;,00;0
output\result\result-TUW-200959-xstream.xml;"Stephan Kreutzer
Sebastian Ordyniak
";"";none extracted value;,00;0
output\result\result-TUW-201066-xstream.xml;"Martin Berlakovich
Mario Ruthmair
Günther R Raidl
";"";none extracted value;,00;0
output\result\result-TUW-201160-xstream.xml;"Markus Leitner
Günther R Raidl
";"";none extracted value;,00;0
output\result\result-TUW-201167-xstream.xml;"Mario Ruthmair
Andreas Hubmer
Günther R Raidl
";"";none extracted value;,00;0
output\result\result-TUW-201821-xstream.xml;"Antonius Weinzierl
";"";none extracted value;,00;0
output\result\result-TUW-202034-xstream.xml;"Rainer Schuster
";"";none extracted value;,00;0
output\result\result-TUW-202824-xstream.xml;"Amirreza Tahamtan
Rainer Kern
Min Tjoa
";"";none extracted value;,00;0
output\result\result-TUW-203409-xstream.xml;"Viktor Pavlu
Andreas Krall
";"";none extracted value;,00;0
output\result\result-TUW-203924-xstream.xml;"Matthias Samwald
Holger Stenzhorn
Michel Dumontier
M Scott Marshall
Joanne Luciano
Klaus-Peter Adlassnig
";"";none extracted value;,00;0
