"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"82,93";"64,38";"64,17"
"Zeitschriftenartikel";"87,43";"62,88";"62,68"
"Diplom- oder Masterarbeiten";"54,50";"41,21";"36,48"
"Buchbeiträge";"87,31";"65,43";"65,31"
"Average";"78,04";"58,48";"57,16"
