path;PDF;original;extracted;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;REFERENCES;Precision;Recall;F1
TUW-216744;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-216744.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-216744-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-216744-xstream.xml");100,00;0;NA;0;,00;NA;,00;0;0;NA;NA;NA;NA;NA;NA;NA;60,00;82,35;47,50;28,09;26,93
TUW-247301;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-247301.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-247301-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-247301-xstream.xml");100,00;NA;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;85,71;100,00;55,00;37,50;35,71
TUW-228620;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-228620.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-228620-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-228620-xstream.xml");,00;0;NA;0;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;,00;98,88;20,00;9,78;9,89
TUW-194085;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-194085.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-194085-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-194085-xstream.xml");,00;0;0;NA;50,00;NA;66,67;0;0;NA;NA;NA;NA;NA;NA;NA;19,51;100,00;43,62;34,84;26,24
TUW-213513;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-213513.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-213513-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-213513-xstream.xml");,00;NA;NA;NA;66,67;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;85,71;100,00;45,00;37,50;31,55
TUW-139299;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139299-xstream.xml");100,00;0;NA;NA;,00;NA;,00;NA;NA;NA;NA;NA;NA;NA;0;NA;85,71;85,71;53,00;40,26;38,78
TUW-141121;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141121.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141121-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-141121-xstream.xml");100,00;0;NA;NA;40,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;66,67;100,00;62,67;34,13;34,07
TUW-140048;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140048.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140048-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140048-xstream.xml");,00;0;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;54,55;84,62;34,07;13,85;15,46
TUW-140047;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140047.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140047-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140047-xstream.xml");100,00;0;NA;NA;,00;NA;,00;0;0;NA;NA;NA;NA;NA;NA;NA;48,00;100,00;55,00;29,41;31,00
TUW-233657;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-233657.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-233657-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-233657-xstream.xml");100,00;0;NA;0;50,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;62,50;75,00;60,65;27,48;28,75
