path;PDF;original;extracted;PublicationType;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;SECTION_LEVELS;SECTION_REFERENCES;REFERENCES;Precision;Recall;F1
TUW-186227;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-186227.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-186227-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-186227-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;,00;,00;,00;0;40,00;20,00;20,00
TUW-189842;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-189842.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-189842-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-189842-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;,00;0;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;80,00;80,00;40,00;100,00;53,33;29,17;25,00
TUW-191715;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-191715.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-191715-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-191715-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;,00;NA;0;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;41,38;,00;34,48;0;47,50;13,85;15,99
TUW-191977;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-191977.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-191977-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-191977-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;,00;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;100,00;,00;25,00;100,00;54,17;29,55;29,55
TUW-192724;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-192724.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-192724-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-192724-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;100,00;,00;50,00;100,00;75,00;37,50;37,50
TUW-194085;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-194085.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-194085-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-194085-xstream.xml");DIPLOM_UND_MASTERARBEITEN;100,00;0;0;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;0;NA;20,00;,00;5,41;0;37,65;9,75;10,45
TUW-194561;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-194561.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-194561-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-194561-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;100,00;NA;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;0;100,00;,00;16,67;100,00;69,44;37,88;37,88
TUW-194660;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-194660.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-194660-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-194660-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;,00;,00;,00;0;40,00;20,00;20,00
TUW-197422;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-197422.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-197422-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-197422-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;,00;NA;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;100,00;9,09;18,18;100,00;54,55;32,73;32,73
TUW-197852;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-197852.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-197852-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-197852-xstream.xml");ZEITSCHRIFTENARTIKEL;,00;0;NA;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;62,50;,00;25,00;100,00;37,50;18,75;18,75
