"File";"Precision";"Recall";"F1"
"output\result\result-TUW-236120-xstream.xml";"70,00";"15,94";"18,37"
"output\result\result-TUW-237297-xstream.xml";"58,33";"36,11";"30,51"
"output\result\result-TUW-240858-xstream.xml";"64,74";"23,54";"23,54"
"output\result\result-TUW-245336-xstream.xml";"75,00";"56,52";"47,30"
"output\result\result-TUW-245799-xstream.xml";"83,33";"15,82";"16,99"
"output\result\result-TUW-247301-xstream.xml";"68,75";"30,00";"28,57"
"output\result\result-TUW-247741-xstream.xml";"48,96";"14,90";"15,50"
"output\result\result-TUW-247743-xstream.xml";"37,50";"17,32";"14,70"
"output\result\result-TUW-251544-xstream.xml";"68,75";"15,25";"17,71"
"output\result\result-TUW-252847-xstream.xml";"82,29";"29,49";"26,84"
"output\result\result-TUW-255712-xstream.xml";"70,83";"43,75";"38,33"
"output\result\result-TUW-256654-xstream.xml";"67,86";"23,86";"24,24"
"output\result\result-TUW-257397-xstream.xml";"78,27";"31,84";"29,36"
"output\result\result-TUW-257870-xstream.xml";"69,05";"23,85";"22,31"
"";"63,13";"24,95";"23,64"
