"PublicationType";"Precision";"Recall";"F1"
"BUCHBEITRAEGE";"72,07";"32,83";"30,55"
"BEITRAEGE_AUS_TAGUNGSBAENDEN";"67,41";"26,75";"25,63"
"ZEITSCHRIFTENARTIKEL";"65,70";"20,06";"20,05"
"DIPLOM_UND_MASTERARBEITEN";"38,60";"15,44";"12,92"
"";"60,95";"23,77";"22,29"
