"File";"Precision";"Recall";"F1"
"output\result\result-TUW-236120-xstream.xml";"88,54";"80,86";"80,79"
"output\result\result-TUW-237297-xstream.xml";"66,27";"62,15";"58,82"
"output\result\result-TUW-240858-xstream.xml";"100,00";"96,97";"98,35"
"output\result\result-TUW-245336-xstream.xml";"92,21";"82,09";"86,39"
"output\result\result-TUW-245799-xstream.xml";"86,72";"51,15";"48,65"
"output\result\result-TUW-247301-xstream.xml";"95,00";"100,00";"97,14"
"output\result\result-TUW-247741-xstream.xml";"81,33";"62,25";"64,29"
"output\result\result-TUW-247743-xstream.xml";"67,04";"56,45";"47,98"
"output\result\result-TUW-251544-xstream.xml";"93,97";"56,06";"55,37"
"output\result\result-TUW-252847-xstream.xml";"70,35";"61,54";"59,52"
"output\result\result-TUW-255712-xstream.xml";"81,16";"60,00";"60,42"
"output\result\result-TUW-256654-xstream.xml";"55,36";"34,09";"34,62"
"output\result\result-TUW-257397-xstream.xml";"96,19";"63,64";"62,31"
"output\result\result-TUW-257870-xstream.xml";"65,68";"57,69";"55,28"
"";"81,08";"72,20";"70,73"
