"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"NAN";"0,00";"0,00"
"Zeitschriftenartikel";"NAN";"0,00";"0,00"
"Diplom- oder Masterarbeiten";"NAN";"0,00";"0,00"
"Buchbeiträge";"NAN";"0,00";"0,00"
"Average";"NAN";"0,00";"0,00"
