"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"79,44";"52,75";"51,30";"59,10";"26,23";"25,40";"71,65";"47,33";"46,24";"0,00";"0,00";"0,00"
"Zeitschriftenartikel";"79,72";"52,16";"51,01";"64,71";"31,43";"30,56";"62,12";"40,32";"39,20";"0,00";"0,00";"0,00"
"Diplom- oder Masterarbeiten";"66,42";"40,98";"40,53";"notMatched";"notMatched";"notMatched";"72,14";"45,00";"43,96";"0,00";"0,00";"0,00"
"Buchbeiträge";"80,99";"54,69";"53,94";"50,00";"20,00";"18,92";"77,50";"49,81";"48,76";"0,00";"0,00";"0,00"
"Average";"76,64";"50,14";"49,20";"57,94";"25,89";"24,96";"70,85";"45,62";"44,54";"0,00";"0,00";"0,00"
