"PublicationType";"Precision";"Recall";"F1"
"BEITRAEGE_AUS_TAGUNGSBAENDEN";"54,82";"37,93";"32,75"
"ZEITSCHRIFTENARTIKEL";"54,90";"34,93";"31,97"
"DIPLOM_UND_MASTERARBEITEN";"59,84";"37,78";"33,58"
"BUCHBEITRAEGE";"61,78";"42,19";"35,94"
"Average";"57,84";"38,21";"33,56"
