"File";"Precision";"Recall";"F1"
"output\result\result-TUW-236120-xstream.xml";"88,64";"70,07";"72,06"
"output\result\result-TUW-237297-xstream.xml";"59,55";"65,28";"48,34"
"output\result\result-TUW-240858-xstream.xml";"93,33";"80,30";"81,96"
"output\result\result-TUW-245336-xstream.xml";"100,00";"85,71";"85,71"
"output\result\result-TUW-245799-xstream.xml";"57,54";"75,82";"55,87"
"output\result\result-TUW-247301-xstream.xml";"100,00";"90,00";"90,00"
"output\result\result-TUW-247741-xstream.xml";"70,83";"58,23";"51,85"
"output\result\result-TUW-247743-xstream.xml";"25,00";"27,27";"20,51"
"output\result\result-TUW-251544-xstream.xml";"85,71";"44,79";"46,21"
"output\result\result-TUW-252847-xstream.xml";"81,75";"81,44";"71,30"
"output\result\result-TUW-255712-xstream.xml";"71,88";"73,00";"72,41"
"output\result\result-TUW-256654-xstream.xml";"12,50";"9,09";"6,06"
"output\result\result-TUW-257397-xstream.xml";"99,06";"87,32";"91,54"
"output\result\result-TUW-257870-xstream.xml";"57,14";"69,23";"53,33"
"";"67,64";"57,89";"53,88"
