"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"74,05";"65,57";"59,97"
"Zeitschriftenartikel";"66,74";"58,59";"52,30"
"Diplom- oder Masterarbeiten";"21,04";"15,63";"12,52"
"Buchbeiträge";"86,73";"67,28";"68,91"
"Average";"62,14";"51,77";"48,42"
