"PublicationType";"Precision";"Recall";"F1"
"BEITRAEGE_AUS_TAGUNGSBAENDEN";"77,66";"28,49";"28,76"
"ZEITSCHRIFTENARTIKEL";"67,99";"21,89";"22,52"
"DIPLOM_UND_MASTERARBEITEN";"60,42";"13,02";"13,66"
"BUCHBEITRAEGE";"72,96";"30,22";"30,69"
"Average";"69,76";"23,40";"23,91"
