path;PDF;original;extracted;PublicationType;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;SECTION_LEVELS;SECTION_REFERENCES;REFERENCES;Precision;Recall;F1
TUW-140983;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140983.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140983-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140983-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;85,71;40,00;40,00;100,00;66,67;NA;NA;NA;NA;NA;NA;NA;66,67;66,67;80,00;100,00;76,52;81,82;76,88
TUW-141024;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141024.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141024-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141024-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;NA;NA;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;100,00;100,00;100,00;100,00;100,00;100,00;100,00
TUW-141065;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141065.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141065-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141065-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;66,67;66,67;66,67;66,67;NA;NA;NA;NA;NA;NA;NA;100,00;100,00;66,67;100,00;85,28;84,47;84,85
TUW-141121;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141121.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141121-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141121-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;100,00;100,00;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;100,00;100,00;50,00;92,31;94,16;95,45;94,76
TUW-141140;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141140.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141140-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141140-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;NA;NA;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;73,33;75,86;100,00;100,00;91,00;100,00;94,36
TUW-141336;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141336.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141336-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141336-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;100,00;NA;NA;50,00;50,00;50,00;,00;,00;0;0;NA;0;0;NA;NA;88,00;88,00;83,33;100,00;56,84;60,61;47,29
TUW-141618;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141618.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141618-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141618-xstream.xml");BUCHBEITRAEGE;100,00;100,00;NA;NA;88,89;NA;NA;100,00;33,33;NA;NA;NA;NA;NA;NA;NA;55,56;55,56;30,77;98,67;69,61;86,11;73,64
TUW-141758;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141758.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141758-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141758-xstream.xml");DIPLOM_UND_MASTERARBEITEN;100,00;100,00;0;NA;100,00;NA;NA;100,00;100,00;NA;NA;NA;NA;NA;0;NA;86,82;83,72;,00;89,09;82,45;70,94;69,06
TUW-168222;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-168222.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-168222-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-168222-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;,00;NA;NA;100,00;100,00;100,00;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;50,00;,00;0;0;72,22;59,09;59,09
TUW-168482;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-168482.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-168482-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-168482-xstream.xml");DIPLOM_UND_MASTERARBEITEN;,00;,00;0;NA;80,00;NA;NA;,00;,00;NA;NA;NA;NA;NA;0;NA;75,41;70,18;0;75,00;30,96;34,82;27,33
