"PublicationType";"Precision";"Recall";"F1"
"BUCHBEITRAEGE";"87,99";"67,28";"69,85"
"BEITRAEGE_AUS_TAGUNGSBAENDEN";"75,06";"65,73";"60,70"
"ZEITSCHRIFTENARTIKEL";"68,05";"58,59";"53,17"
"DIPLOM_UND_MASTERARBEITEN";"26,34";"20,57";"16,49"
"";"64,36";"53,04";"50,05"
