path;PDF;original;extracted;PublicationType;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;SECTION_LEVELS;SECTION_REFERENCES;REFERENCES;Precision;Recall;F1
TUW-169511;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-169511.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-169511-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-169511-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;NA;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;80,00;,00;0;100,00;46,67;28,00;28,00
TUW-172697;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-172697.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-172697-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-172697-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;,00;0;NA;0;54,55;NA;54,55;0;0;NA;NA;NA;NA;NA;NA;NA;33,33;33,33;0;100,00;45,00;27,27;25,07
TUW-174216;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-174216.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-174216-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-174216-xstream.xml");ZEITSCHRIFTENARTIKEL;,00;0;NA;0;22,22;NA;22,22;0;0;0;0;0;0;0;0;NA;62,50;12,50;0;96,30;41,67;11,34;12,69
TUW-175428;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-175428.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-175428-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-175428-xstream.xml");DIPLOM_UND_MASTERARBEITEN;,00;0;0;NA;28,57;NA;28,57;0;0;NA;NA;NA;NA;NA;0;NA;21,92;,00;0;100,00;26,67;26,55;14,92
TUW-176087;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-176087.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-176087-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-176087-xstream.xml");BUCHBEITRAEGE;100,00;0;NA;0;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;80,00;26,67;0;96,55;52,38;24,44;25,27
TUW-177140;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-177140.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-177140-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-177140-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;,00;0;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;72,73;,00;0;100,00;27,78;16,36;15,70
TUW-179146;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-179146.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-179146-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-179146-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;20,00;NA;20,00;0;0;NA;NA;NA;NA;NA;NA;NA;71,43;,00;0;100,00;53,57;30,48;31,14
TUW-180162;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-180162.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-180162-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-180162-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;59,26;14,81;0;90,00;50,00;21,88;24,01
TUW-181199;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-181199.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-181199-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-181199-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;,00;0;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;72,73;,00;0;100,00;30,00;15,15;15,70
TUW-182414;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-182414.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-182414-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-182414-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;0;NA;NA;80,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;62,50;12,50;0;84,21;58,73;30,85;30,84
TUW-182899;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-182899.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-182899-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-182899-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;0;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;36,36;6,06;0;98,67;45,00;20,71;21,92
TUW-185321;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-185321.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-185321-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-185321-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;80,00;NA;80,00;0;0;NA;NA;NA;NA;NA;NA;NA;75,00;75,00;0;100,00;80,56;55,00;51,00
TUW-185441;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-185441.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-185441-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-185441-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;80,00;NA;80,00;0;0;NA;NA;NA;NA;NA;NA;NA;30,77;,00;0;100,00;61,11;42,86;39,08
TUW-186227;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-186227.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-186227-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-186227-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;28,57;NA;28,57;0;0;NA;NA;NA;NA;NA;NA;NA;42,86;,00;0;100,00;47,22;43,75;30,00
TUW-189842;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-189842.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-189842-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-189842-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;,00;0;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;54,55;54,55;0;85,71;46,43;18,75;16,23
TUW-191715;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-191715.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-191715-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-191715-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;0;NA;0;100,00;NA;100,00;0;0;NA;NA;NA;NA;NA;NA;NA;41,38;,00;0;93,55;79,17;37,86;39,54
TUW-191977;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-191977.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-191977-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-191977-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;88,89;,00;0;90,91;46,67;25,76;25,44
TUW-192724;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-192724.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-192724-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-192724-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;,00;0;NA;0;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;72,73;,00;0;96,77;30,00;13,37;14,13
TUW-194085;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-194085.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-194085-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-194085-xstream.xml");DIPLOM_UND_MASTERARBEITEN;,00;0;0;NA;50,00;NA;66,67;0;0;NA;NA;NA;NA;NA;0;NA;19,51;,00;0;100,00;36,35;26,13;19,68
TUW-194561;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-194561.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-194561-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-194561-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;0;NA;NA;,00;NA;,00;0;0;NA;NA;NA;NA;NA;NA;0;92,31;,00;0;100,00;47,62;27,27;26,57
TUW-194660;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-194660.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-194660-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-194660-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;80,00;NA;80,00;0;0;NA;NA;NA;NA;NA;NA;NA;20,00;,00;0;88,89;58,89;40,00;36,89
TUW-197422;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-197422.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-197422-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-197422-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;40,00;NA;40,00;0;0;NA;NA;NA;NA;NA;NA;NA;35,29;,00;0;100,00;50,00;42,73;31,53
