"PublicationType";"Precision";"Recall";"F1"
"BEITRAEGE_AUS_TAGUNGSBAENDEN";"67,50";"26,87";"25,69"
"ZEITSCHRIFTENARTIKEL";"65,66";"20,05";"20,04"
"DIPLOM_UND_MASTERARBEITEN";"38,99";"15,58";"13,06"
"BUCHBEITRAEGE";"72,22";"32,89";"30,61"
"Average";"61,09";"23,85";"22,35"
