"PublicationType";"Precision";"Recall";"F1"
"BEITRAEGE_AUS_TAGUNGSBAENDEN";"77,40";"54,30";"52,36"
"ZEITSCHRIFTENARTIKEL";"79,16";"50,80";"49,45"
"DIPLOM_UND_MASTERARBEITEN";"81,52";"49,58";"48,97"
"BUCHBEITRAEGE";"81,15";"58,97";"57,92"
"Average";"79,81";"53,41";"52,17"
