output\result\result-TUW-137078-xstream.xml;"





";"





";1,00;1,00;1,00
output\result\result-TUW-138011-xstream.xml;"









";"









";1,00;1,00;1,00
output\result\result-TUW-138447-xstream.xml;"



















";"


























";,74;1,00;,85
output\result\result-TUW-138544-xstream.xml;"






";"






";1,00;1,00;1,00
output\result\result-TUW-138547-xstream.xml;"






";"






";1,00;1,00;1,00
output\result\result-TUW-139299-xstream.xml;"










";"










";1,00;1,00;1,00
output\result\result-TUW-139761-xstream.xml;"

































";"

































";1,00;1,00;1,00
output\result\result-TUW-139769-xstream.xml;"









































";"









































";1,00;1,00;1,00
output\result\result-TUW-139781-xstream.xml;"







";"







";1,00;1,00;1,00
output\result\result-TUW-139785-xstream.xml;"












































";"";none extracted value;,00;0
output\result\result-TUW-140047-xstream.xml;"




";"




";1,00;1,00;1,00
output\result\result-TUW-140048-xstream.xml;"












";"












";1,00;1,00;1,00
output\result\result-TUW-140229-xstream.xml;"









";"









";1,00;1,00;1,00
output\result\result-TUW-140253-xstream.xml;"


































";"



























";1,00;,80;,89
output\result\result-TUW-140308-xstream.xml;"



";"



";1,00;1,00;1,00
output\result\result-TUW-140533-xstream.xml;"






































";"






































";1,00;1,00;1,00
output\result\result-TUW-140867-xstream.xml;"








";"








";1,00;1,00;1,00
output\result\result-TUW-140895-xstream.xml;"


































";"";none extracted value;,00;0
output\result\result-TUW-140983-xstream.xml;"



";"



";1,00;1,00;1,00
output\result\result-TUW-141024-xstream.xml;"










";"










";1,00;1,00;1,00
output\result\result-TUW-141065-xstream.xml;"













";"













";1,00;1,00;1,00
output\result\result-TUW-141121-xstream.xml;"





";"





";1,00;1,00;1,00
output\result\result-TUW-141140-xstream.xml;"







";"







";1,00;1,00;1,00
output\result\result-TUW-141336-xstream.xml;"













";"













";1,00;1,00;1,00
output\result\result-TUW-141618-xstream.xml;"




































";"





































";,97;1,00;,99
output\result\result-TUW-141758-xstream.xml;"
















































";"";none extracted value;,00;0
output\result\result-TUW-168222-xstream.xml;"


";"";none extracted value;,00;0
output\result\result-TUW-168482-xstream.xml;"


























";"";none extracted value;,00;0
output\result\result-TUW-169511-xstream.xml;"





";"





";1,00;1,00;1,00
output\result\result-TUW-172697-xstream.xml;"


";"";none extracted value;,00;0
output\result\result-TUW-174216-xstream.xml;"



























";"



























";1,00;1,00;1,00
output\result\result-TUW-175428-xstream.xml;"


















";"";none extracted value;,00;0
output\result\result-TUW-176087-xstream.xml;"














";"














";1,00;1,00;1,00
output\result\result-TUW-177140-xstream.xml;"














";"














";1,00;1,00;1,00
output\result\result-TUW-179146-xstream.xml;"

















";"

















";1,00;1,00;1,00
output\result\result-TUW-180162-xstream.xml;"





















";"





















";1,00;1,00;1,00
output\result\result-TUW-181199-xstream.xml;"















";"















";1,00;1,00;1,00
output\result\result-TUW-182414-xstream.xml;"










";"";none extracted value;,00;0
output\result\result-TUW-182899-xstream.xml;"





































";"






































";,97;1,00;,99
output\result\result-TUW-185321-xstream.xml;"
";"";none extracted value;,00;0
output\result\result-TUW-185441-xstream.xml;"




";"";none extracted value;,00;0
output\result\result-TUW-186227-xstream.xml;"






";"";none extracted value;,00;0
output\result\result-TUW-189842-xstream.xml;"



";"



";1,00;1,00;1,00
output\result\result-TUW-191715-xstream.xml;"
































";"";none extracted value;,00;0
output\result\result-TUW-191977-xstream.xml;"





";"





";1,00;1,00;1,00
output\result\result-TUW-192724-xstream.xml;"















";"















";1,00;1,00;1,00
output\result\result-TUW-194085-xstream.xml;"

















";"";none extracted value;,00;0
output\result\result-TUW-194561-xstream.xml;"





















";"





















";1,00;1,00;1,00
output\result\result-TUW-194660-xstream.xml;"




";"";none extracted value;,00;0
output\result\result-TUW-197422-xstream.xml;"

























";"

























";1,00;1,00;1,00
output\result\result-TUW-197852-xstream.xml;"






";"






";1,00;1,00;1,00
output\result\result-TUW-198400-xstream.xml;"



























";"
























";1,00;,89;,94
output\result\result-TUW-198401-xstream.xml;"





";"





";1,00;1,00;1,00
output\result\result-TUW-198405-xstream.xml;"





";"





";1,00;1,00;1,00
output\result\result-TUW-198408-xstream.xml;"


























";"";none extracted value;,00;0
output\result\result-TUW-200745-xstream.xml;"















";"";none extracted value;,00;0
output\result\result-TUW-200748-xstream.xml;"








































";"








































";1,00;1,00;1,00
output\result\result-TUW-200948-xstream.xml;"
















";"
















";1,00;1,00;1,00
output\result\result-TUW-200950-xstream.xml;"






















";"






















";1,00;1,00;1,00
