"EvaluationType";"Precision";"Recall";"F1"
"Title";"87,63";"85,00";"85,00"
"Abstract";"69,66";"67,39";"67,39"
"Abstract (german)";"NAN";"0,00";"0,00"
"Keywords";"82,73";"63,94";"61,94"
"Authors";"85,43";"88,35";"83,87"
"Emails";"90,32";"61,96";"63,69"
"Author-Emails";"85,59";"58,33";"60,07"
"Affiliations";"89,17";"81,64";"81,36"
"Author-Affiliations";"65,51";"68,55";"62,98"
"Source";"66,67";"21,05";"20,00"
"Volume";"100,00";"100,00";"100,00"
"Issue";"100,00";"100,00";"100,00"
"Page from";"100,00";"50,00";"50,00"
"Page to";"100,00";"50,00";"50,00"
"Year";"NAN";"0,00";"0,00"
"Doi";"100,00";"100,00";"100,00"
"Sections";"83,45";"83,45";"81,30"
"Section-Levels";"95,43";"83,61";"86,63"
"Section-References";"61,85";"47,40";"48,46"
"References";"91,07";"90,64";"88,06"
"Average";"86,36";"65,07";"64,54"
