"PublicationType";"Precision";"Recall";"F1"
"BEITRAEGE_AUS_TAGUNGSBAENDEN";"95,33";"69,86";"69,74"
"BUCHBEITRAEGE";"99,03";"83,61";"83,61"
"ZEITSCHRIFTENARTIKEL";"94,82";"67,78";"67,53"
"DIPLOM_UND_MASTERARBEITEN";"95,39";"68,24";"68,08"
"";"96,14";"72,37";"72,24"
