"TUW-140047";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140047.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140047-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140047-xstream.xml")";"



";"[1]
[2]
[3]
[4]
[5]";",00";",00";",00"
"TUW-140048";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140048.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140048-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140048-xstream.xml")";"[BEA03]
[BJJW02]
[HH04a]
[HH04b]
[HHK05]
[ISO95]
[Obj00]
[Obj04]
[Ros02]
[UN/01]
[UN/03]
[Wor99]
[Wor04]";"[BEA03]
[BJJW02]
[HH04a]
[HH04b]
[HHK05]
[ISO95]
[Obj00]
[Obj04]
[Ros02]
[UN/01]
[UN/03]
[Wor99]
[Wor04]";"1,00";"1,00";"1,00"
"TUW-140229";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140229.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140229-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140229-xstream.xml")";"








";"[1]
[2]
[3]
[5]
[6]
[7]
[8]
[9]
[10]";",00";",00";",00"
"TUW-140253";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140253.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140253-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140253-xstream.xml")";"

































";"Agha, Mason, Smith, Talcott, 1992
Arbab, 2005
Bacon, Strom, Tarafdar, 2000
Boyapati, Rinard, 2001
Brinch-Hansen, 1975
Caromel, 1993
Choi, Gupta, Serrano, Sreedhar, Midkiff, 1999
Colaco, Pantel, Salle, 1997
de Alfaro, Henzinger, 2001
Flanagan, Abadi, 1999
Heuzeroth, Reussner, 1999
Jacobsen, Krämer, 1998
Kobayashi, Pierce, Turner, 1999
Kobayashi, Yonezawa, 1994
Lee, Xiong, 2004
Liskov, Wing, 1993
Matsuoka, Yonezawa, 1993
Meyer, 1993
Meyer, 1997
Meyer, 2003
Mezini, Ostermann, 2002
Milner, Parrow, Walker, 1992
Najm, Nimour, 1997
Nielson, Nielson, 1993
Nierstrasz, 1993
Plasil, Visnovsky, 2002
Puntigam, 1995
Puntigam, 1997
Puntigam, 2000
Puntigam, 2003
Ravara, Vasconcelos, 1997
Südholt, 2005
Vivien, Rinard, 2001
von Praun, Gross, 2003
Yellin, Strom, 1997";",00";",00";",00"
"TUW-140308";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140308.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140308-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140308-xstream.xml")";"


";"2.
3.
4.";",00";",00";",00"
"TUW-140533";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140533.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140533-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140533-xstream.xml")";"





































";"FORALL, 1998
Ahrendt, Baar, Beckert, Bubel, Giese, Hähnle, Menzel, Mostowski, Roth, Schlager, Schmitt, 2004
Programmverifikation, 1994
Baader, Nipkow, 1998
Bauer, Clarke, Zhao, 1998
Beckert, Giese, Habermalz, Hähnle, Roth, Rümmer, Schlager, 2004
Bundy, 2004
Clarke, Zhao, 1993
Crocker, 2001
Crocker, 2003
Crocker, 2003
Crocker, 2004
Crocker, 2004
Dijkstra, Scholten, 1990
Fitting, 1990
Freining, Kauer, Winkler, 2002
Gallier, 2003
Gannon, Purtilo, Zelkowitz, 1993
Gentzen, 1935
Gries, 1989
Griffioen, Huisman, 1998
Hoare, 1969
Hoare, 2003
Huth, Ryan, 2004
Jones, 2003
Meyer, 2003
OMG, 2003
OMG, 2003
Owre, Rushby, Shankar, 1992
Owre, Rushby, Shankar, Stringer-Calvert, 1998
Owre, Rushby, Shankar, Stringer-Calvert, 2001
Owre, Rushby, Shankar, Stringer-Calvert, 2001
Owre, Rushby, Shankar, Stringer-Calvert, 2001
Owre, Shankar, 1999
Salzer, 2002
Logic, Springer-Verlag, 2004
Winkler, 1995
Winkler, 1997
Zolda, 2004";",00";",00";",00"
"TUW-140867";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140867.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140867-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140867-xstream.xml")";"







";"[1]
[2]
[3]
[4]
[5]
[6]
[7]
[8]";",00";",00";",00"
"TUW-140895";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140895.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140895-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140895-xstream.xml")";"

































";"[1]
[2]
[3]
[4]
[5]
[6]
[7]
[8]
[9]
[10]
[11]
[12]
[13]
[14]
[15]
[17]
[18]
[19]
[20]
[21]
[22]
[23]
[24]
[25]
[26]
[27]
[28]
[29]
[30]
[31]
[32]
[33]
[34]";",00";",00";",00"
"TUW-140983";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140983.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140983-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140983-xstream.xml")";"


";"[1]
[2]
[3]";",00";",00";",00"
"TUW-141024";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141024.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141024-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-141024-xstream.xml")";"









";"[2]
[3]
[4]
[5]
[6]
[7]
[8]
[9]
[10]
[11]";",00";",00";",00"
"TUW-141065";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141065.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141065-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-141065-xstream.xml")";"












";"[1]
[2]
[3]
[4]
[5]
[6]
[7]
[8]
[10]
[11]
[12]
[13]
[14]";",00";",00";",00"
"TUW-141121";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141121.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141121-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-141121-xstream.xml")";"




";"1.
2.
3.
4.
5.
6.";",00";",00";",00"
"TUW-141140";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141140.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141140-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-141140-xstream.xml")";"






";"[1]
[2]
[3]
[4]
[6]
[7]
[8]";",00";",00";",00"
"TUW-141336";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141336.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141336-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-141336-xstream.xml")";"(Chen, Interian, 2005)
(Cocco, Dubois, Mandler, Monasson, 2003)
(Creignou, Daudé, 2003)
(Creignou, Daudé, Dubois, 2003)
(Creignou, Khanna, Sudan, 2001)
(Dubois, Boufkhad, Mandler, 2000)
(Dubois, Mandler, 2002)
(Dubois, Monasson, Selman, Zecchina, 2001)
(Erd?s, Rényi, 1960)
(Franz, Leone, Ricci-Tersenghi, Zecchina, 2001)
(Gent, Walsh, 1999)
(Janson, 1987)
(Janson, Luczak, Rucinski, 2000)
(Takács, 1988)";"Chen, Interian, 2005
Cocco, Dubois, Mandler, Monasson, 2003
Creignou, Daud´e, 2003
Creignou, Daud´e, Dubois, 2003
Creignou, Khanna, Sudan, 2001
Dubois, Boufkhad, Mandler, 2000
Dubois, Mandler, 2002
Dubois, Monasson, Selman, Zecchina, 2001
Erdös, R´enyi, 1960
Franz, Leone, Ricci-Tersenghi, Zecchina, 2001
Gent, Walsh, 1999
Janson, 1987
Janson, Luczak, Rucinski, 2000
Takäcs, 1988";",86";",86";",86"
"TUW-141618";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141618.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141618-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-141618-xstream.xml")";"



































";"[1]
[2]
[3]
[4]
[5]
[6]
[7]
[8]
[9]
[10]
[11]
[12]
[13]
[14]
[15]
[16]
[18]
[19]
[20]
[21]
[22]
[23]
[24]
[25]
[26]
[27]
[28]
[29]
[30]
[31]
[32]
[33]
[34]
[35]
[36]
[37]";",00";",00";",00"
