"File";"Precision";"Recall";"F1"
"output\result\result-TUW-236120-xstream.xml";"60,00";"25,00";"25,00"
"output\result\result-TUW-237297-xstream.xml";"48,57";"37,50";"32,50"
"output\result\result-TUW-240858-xstream.xml";"60,00";"21,21";"22,73"
"output\result\result-TUW-245336-xstream.xml";"60,00";"42,86";"42,86"
"output\result\result-TUW-245799-xstream.xml";"60,00";"18,46";"19,78"
"output\result\result-TUW-247301-xstream.xml";"50,00";"20,00";"20,00"
"output\result\result-TUW-247741-xstream.xml";"56,67";"20,45";"21,57"
"output\result\result-TUW-247743-xstream.xml";"?";",00";",00"
"output\result\result-TUW-251544-xstream.xml";"50,00";"8,33";"8,33"
"output\result\result-TUW-252847-xstream.xml";"75,00";"23,08";"23,08"
"output\result\result-TUW-255712-xstream.xml";"62,50";"31,25";"31,25"
"output\result\result-TUW-256654-xstream.xml";"50,00";"14,77";"16,08"
"output\result\result-TUW-257397-xstream.xml";"83,33";"22,73";"22,73"
"output\result\result-TUW-257870-xstream.xml";"56,67";"23,08";"22,38"
"";"57,69";"19,59";"19,94"
