"path";"PDF";"original";"extracted";"PublicationType";"Id";"Marker";"Title";"Source";"Publisher";"Editor";"Authors";"Edition";"Location";"Volume";"Issue";"Chapter";"Note";"Page from";"Page to";"Date";"Doi";"Url";"Precision";"Recall";"F1"
"TUW-200748-ref30";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20074830.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20074830-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20074830-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"100,00";"100,00";"0,00";"NA";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"NA";"NA";"80,00";"57,14";"57,14"
"TUW-200748-ref31";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20074831.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20074831-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20074831-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"100,00";"0,00";"0,00";"NA";"100,00";"NA";"0,00";"NA";"NA";"NA";"0,00";"NA";"NA";"0,00";"NA";"NA";"40,00";"22,22";"22,22"
"TUW-200748-ref32";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20074832.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20074832-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20074832-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"NA";"0,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"0,00";"NA";"NA";"50,00";"37,50";"33,33"
"TUW-200748-ref33";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20074833.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20074833-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20074833-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"100,00";"100,00";"100,00";"0,00";"100,00";"NA";"NA";"0,00";"NA";"NA";"0,00";"100,00";"100,00";"100,00";"NA";"NA";"77,78";"58,33";"58,33"
"TUW-200748-ref34";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20074834.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20074834-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20074834-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"100,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"100,00";"100,00";"100,00";"NA";"NA";"75,00";"60,00";"60,00"
"TUW-200748-ref36";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20074836.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20074836-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20074836-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"35,29";"NA";"NA";"0,00";"0,00";"NA";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"2,38";"10,00";"3,21"
"TUW-200959-ref2";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-2009592.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-2009592-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-2009592-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"0,00";"NA";"NA";"0,00";"NA";"NA";"NA";"NA";"NA";"100,00";"NA";"NA";"75,00";"42,86";"42,86"
"TUW-200959-ref4";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-2009594.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-2009594-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-2009594-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"0,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"100,00";"100,00";"100,00";"NA";"NA";"87,50";"70,00";"70,00"
"TUW-200959-ref5";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-2009595.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-2009595-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-2009595-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"0,00";"NA";"NA";"NA";"NA";"0,00";"0,00";"100,00";"NA";"NA";"33,33";"20,00";"20,00"
"TUW-200959-ref6";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-2009596.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-2009596-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-2009596-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"0,00";"NA";"NA";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"0,00";"0,00";"100,00";"NA";"NA";"40,00";"25,00";"25,00"
