"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"53,56";"23,85";"21,84"
"Zeitschriftenartikel";"43,50";"22,93";"20,71"
"Diplom- oder Masterarbeiten";"41,79";"29,20";"24,03"
"Buchbeiträge";"66,88";"37,89";"36,51"
"Average";"51,43";"28,47";"25,77"
