"PublicationType";"Precision";"Recall";"F1"
"Beiträge in Tagungsbänden";"58,67";"43,93";"41,36"
"Zeitschriftenartikel";"52,75";"35,07";"32,85"
"Diplom- oder Masterarbeiten";"60,35";"42,59";"40,14"
"Buchbeiträge";"81,01";"63,32";"61,85"
"Average";"63,20";"46,23";"44,05"
